Rk,Player,PTS,Age,Team,Pos,G,GS,MP,PER,TSp,3PAr,FTr,ORBp,DRBp,TRBp,ASTp,STLp,BLKp,TOVp,USGp,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
27,Toumani Camara,858,24,POR,PF,76,76,2493,12.5,0.572,0.501,0.178,7.3,12,9.6,9.4,2.2,1.8,12.6,14.3,2.4,2.5,4.9,0.094,-1,0.7,-0.3,1.1
28,Tyrese Haliburton,1359,24,IND,PG,73,73,2451,21.8,0.616,0.559,0.221,1.9,9.7,5.9,38.8,2.1,1.8,9.8,21.6,8.1,2.3,10.4,0.204,5.7,0.1,5.8,4.9
29,LeBron James,1696,40,LAL,SF,69,69,2422,22.7,0.604,0.311,0.262,3.4,21.3,12.6,40.1,1.4,1.5,15.6,30.1,4.8,2.7,7.6,0.15,4.9,0.6,5.6,4.6
30,Cade Cunningham,1794,23,DET,PG,69,69,2416,20.3,0.562,0.288,0.255,2.6,16.4,9.6,42.8,1.4,2,16,33.2,2.7,2.9,5.6,0.112,3.6,0.1,3.7,3.5
31,Coby White,1491,24,CHI,SG,72,71,2403,15.6,0.602,0.525,0.275,1.1,10.1,5.7,19.5,1.3,0.5,12.2,24.5,3,1.3,4.3,0.086,0.6,-1.5,-0.9,0.7
32,Bub Carrington,774,19,WAS,PG,80,55,2382,8.9,0.515,0.548,0.116,1.4,13,7.2,20.7,1.1,0.8,15.3,15.6,-0.4,0.6,0.2,0.004,-3.4,-1.3,-4.7,-1.6
33,Alperen Şengün,1437,22,HOU,C,75,75,2372,21.4,0.545,0.08,0.379,11.5,23.8,17.5,24.1,1.7,2.3,12.8,26.2,4.1,4.3,8.4,0.169,2.6,1.8,4.5,3.9
34,Domantas Sabonis,1298,29,HOU,SF,74,74,2366,11.1,0.556,0.523,0.137,3.3,9.1,6.2,7.5,1.2,0.6,7.5,17.7,2.7,2.6,5.3,0.107,-1.3,0.1,-1.3,0.5
35,Dillon Brooks,1045,28,SAC,C,68,68,2366,22.7,0.653,0.173,0.331,12.3,32.4,22.3,25.9,0.9,1.1,16.5,21.6,7.1,2.6,9.7,0.196,4,1,5,4.1
36,Jamal Murray,1405,27,DEN,PG,65,65,2362,17.9,0.587,0.356,0.218,2.1,9.1,5.8,23.2,1.9,1.2,10,23.9,4.6,1.6,6.1,0.125,1.8,-1,0.8,1.7
37,Rudy Gobert,812,32,MIN,C,70,70,2317,17.8,0.69,0,0.532,12.3,23.8,18.1,7.7,1.2,4,13.1,12.7,5.7,3.8,9.6,0.198,0.5,1.3,1.8,2.2
38,Anfernee Simons,1348,25,POR,SG,70,70,2292,14.9,0.557,0.527,0.172,1.2,8,4.5,23.2,1.3,0.2,10.6,24.6,2.9,1.1,4,0.084,1.5,-1.6,-0.1,1.1
39,Kentavious Caldwell-Pope,671,31,ORL,SG,76,76,2274,9.9,0.577,0.606,0.176,1.6,7.2,4.3,8.7,2.2,1.4,9.6,12.4,1.5,3.1,4.6,0.098,-3,1.5,-1.5,0.3
40,Darius Garland,1518,25,CLE,PG,74,74,2268,19.7,0.599,0.453,0.214,2.3,7.7,5.1,31.6,1.9,0.4,12.8,27.2,5.6,2.3,7.8,0.166,3.8,-0.9,2.9,2.8
41,Tobias Harris,981,32,DET,PF,71,71,2266,13.8,0.568,0.327,0.205,3.2,17.4,10.4,9.7,1.5,2.3,8.8,17.6,2.2,2.9,5.1,0.108,-0.6,0.6,0,1.1
42,Jalen Brunson,1663,28,NYK,PG,64,64,2265,21.6,0.604,0.33,0.373,1.4,8,4.7,32.5,1.3,0.3,10.5,29.5,6.7,1.4,8.2,0.173,4.7,-1.4,3.3,3
43,Kevin Durant,1647,36,PHO,PF,62,62,2265,21.1,0.642,0.331,0.321,1.2,16.8,9.2,19.7,1.1,3.2,12.9,28.7,4,1.2,5.2,0.109,3.9,-0.7,3.2,3
44,Jarrett Allen,1092,26,CLE,C,80,80,2263,22.1,0.725,0.006,0.431,10.5,26.7,18.8,9.4,1.6,2.9,11.3,15.9,7.5,3.9,11.4,0.243,3,1.2,4.2,3.5
45,Shaedon Sharpe,1335,21,POR,SG,72,52,2252,14.5,0.551,0.428,0.219,3.2,12.7,7.8,14.2,1.3,0.6,11,25.2,1.3,1.6,2.9,0.061,0,-1.4,-1.4,0.4
46,Giannis Antetokounmpo,2004,30,MIL,PF,66,66,2251,30.4,0.625,0.047,0.537,7.3,29.7,19,35.5,1.2,3.1,11.2,35.2,7.5,3.7,11.2,0.24,6.8,2.5,9.3,6.4
47,Chris Paul,708,39,SAS,PG,80,80,2244,14.8,0.584,0.64,0.155,1.5,12.3,6.9,35.1,2.1,0.8,17.3,13.9,4.2,1.5,5.7,0.122,0.4,0.4,0.8,1.6
48,De'Aaron Fox,1459,27,2TM,PG,62,62,2241,18.3,0.56,0.328,0.273,2.7,12.1,7.4,27.2,2,1.1,11.8,28.2,2.6,1.7,4.3,0.092,1.3,-1,0.4,1.3
49,Jalen Williams,1490,27,SAS,PG,17,17,578,16.3,0.537,0.339,0.257,1.7,11.9,6.8,30.8,2.1,0.8,11.6,26,0.5,0.4,0.9,0.071,-0.6,-1.4,-2,0
50,Malik Beasley,1292,28,DET,SG,80,18,2237,14.2,0.586,0.712,0.134,2.3,8.1,5.3,9,1.5,0.2,6.9,22.3,2.7,1.9,4.6,0.098,1.8,-1.2,0.6,1.5
51,Nikola Vučević,1326,23,OKC,SG,69,69,2237,20.3,0.573,0.291,0.256,2.9,14.6,8.9,23.5,2.4,2.1,10.3,27.5,3.7,4.1,7.8,0.167,2.6,1.4,4,3.4
52,Donovan Mitchell,1701,34,CHI,C,71,70,2233,20.2,0.615,0.313,0.145,8.1,25.3,16.8,17,1.2,1.9,9.7,22.4,4.6,2.4,7,0.151,2.6,0,2.5,2.6
53,Payton Pritchard,1088,28,CLE,SG,71,71,2232,20.8,0.575,0.48,0.274,2.9,12.5,7.8,23.8,2,0.7,9.2,30.9,4.8,2.7,7.5,0.161,3.8,-0.2,3.6,3.2
54,Amen Thompson,955,27,BOS,PG,78,2,2211,17.1,0.628,0.734,0.099,4.9,9.7,7.3,17.7,1.5,0.6,8.2,18.7,5.8,2.4,8.2,0.178,3.1,0.1,3.2,2.9
55,Stephen Curry,1668,22,HOU,SF,68,41,2199,18.6,0.601,0.131,0.353,9,18.1,13.5,16.7,2.1,3.6,14.7,17.4,3.9,4,8,0.174,1.4,2.7,4,3.3
56,Harrison Barnes,991,36,GSW,PG,68,68,2187,21.6,0.617,0.624,0.237,1.8,13.3,7.4,31.3,1.7,1.3,12.4,29.7,5.1,2.6,7.7,0.17,6.4,0,6.4,4.7
57,Desmond Bane,1303,32,SAS,PF,80,80,2181,14.8,0.657,0.525,0.285,4.7,10.1,7.4,8.6,0.8,0.6,6.2,15.7,4.9,0.5,5.4,0.119,1.7,-1.7,0.1,1.1
58,Jaren Jackson Jr.,1623,26,MEM,SG,68,67,2171,17.9,0.601,0.41,0.195,3,16.9,10,24,1.7,1.2,13.3,23.2,4,2.5,6.4,0.143,2.6,0.6,3.2,2.8
59,Julius Randle,1257,25,MEM,C,73,73,2170,19.7,0.592,0.319,0.333,4.5,15.7,10.2,10.2,2,4.7,10,28.3,3.2,3.1,6.3,0.14,1.6,0.7,2.3,2.4
60,Deni Avdija,1219,30,MIN,PF,67,67,2163,17.5,0.59,0.333,0.365,7.3,16.9,12.1,22.7,1,0.6,15.1,25.1,3.5,2.5,6,0.133,1.4,-0.2,1.2,1.8
61,Myles Turner,1111,24,POR,SF,72,54,2161,17.7,0.605,0.405,0.441,5.4,21.2,13.1,19.8,1.6,1.5,16.3,23.2,3.1,2.4,5.5,0.122,1.5,0.5,2,2.2
62,Jaylen Brown,1398,28,IND,C,71,71,2161,16.1,0.61,0.486,0.292,4.7,19.4,12.2,7,1.2,6,11.8,20.7,1.7,2.9,4.6,0.103,-0.1,0.4,0.3,1.3
63,Naz Reid,1120,28,BOS,SF,63,63,2158,17.8,0.555,0.32,0.288,4.2,14.4,9.3,21.4,1.7,0.8,11.4,28.9,2.3,2.8,5.1,0.114,0.4,-0.4,-0.1,1.1
64,Taurean Prince,646,25,MIN,C,78,17,2149,15.8,0.578,0.503,0.157,4.6,19.4,12.1,12.6,1.3,3.1,9.9,21.7,2.3,3.2,5.5,0.124,0.7,0.9,1.6,2
65,Tyus Jones,806,30,MIL,SF,79,72,2141,9.8,0.613,0.651,0.091,1.8,12.2,7.2,9.5,1.7,0.6,13.5,12.5,1.3,2.2,3.5,0.078,-2.1,0.3,-1.8,0.1
66,Evan Mobley,1300,28,PHO,PG,79,57,2132,14.5,0.587,0.588,0.086,2.2,7.7,5,27.8,1.6,0.3,11.5,16.1,4,0.3,4.2,0.096,1.3,-1.3,0,1.1
67,Josh Giddey,1022,23,CLE,PF,70,70,2131,22.4,0.635,0.251,0.325,8.4,24.2,16.5,15.2,1.4,4.8,12.3,23.2,5.2,3.7,8.9,0.201,3.1,1.5,4.6,3.6
68,Tim Hardaway Jr.,835,22,CHI,PG,70,69,2117,18.1,0.57,0.348,0.281,6.4,21.4,14.1,33,1.9,1.8,18.4,21.7,2.8,2.4,5.2,0.118,1.9,1,2.9,2.6
69,Bennedict Mathurin,1136,32,DET,SG,75,75,2115,10.1,0.572,0.668,0.218,0.9,8.5,4.8,7.7,0.9,0.3,6.2,15.5,2.2,1.5,3.6,0.082,-1,-0.8,-1.8,0.1
70,Spencer Dinwiddie,864,22,IND,SF,71,48,2108,13.7,0.582,0.34,0.382,4.4,15.3,9.9,8.8,1,1,11.8,22.7,1.4,1.7,3.1,0.07,-1.3,-1.5,-2.8,-0.4
71,Stephon Castle,1154,31,DAL,PG,78,30,2100,13.2,0.556,0.476,0.354,1,9.6,5.4,22.1,1.6,0.7,11.3,17.9,2.5,1.2,3.7,0.085,-0.8,-0.6,-1.4,0.3
72,Damian Lillard,1447,20,SAS,PG,79,45,2094,13.6,0.521,0.338,0.346,4.5,10.1,7.3,22.5,1.7,1,13.4,26,0,1,1,0.023,-1.6,-1.7,-3.2,-0.6
73,Fred VanVleet,829,34,MIL,PG,58,58,2093,21.3,0.621,0.528,0.396,1.6,12.1,7,29.7,1.6,0.4,12.2,27.8,5.6,2.1,7.6,0.175,4.6,-0.6,4,3.2
74,Kelly Oubre Jr.,906,30,HOU,PG,59,59,2084,12.9,0.515,0.607,0.18,1.6,9.8,5.6,21.3,2.2,1.1,9.4,17.5,2.5,2.9,5.4,0.124,-0.4,1.4,1,1.6
75,Dennis Schröder,968,29,PHI,SF,60,57,2078,13.5,0.551,0.327,0.25,5.1,15.5,10.1,7.9,2.2,1.4,8.9,18.9,1.2,1.4,2.7,0.062,-1.7,-0.6,-2.2,-0.1
76,Luguentz Dort,719,31,3TM,PG,74,49,2077,12.7,0.531,0.45,0.264,1.4,9.2,5.2,28.5,1.6,0.6,13.3,21.6,1.5,1.7,3.2,0.073,-1.3,-0.9,-2.3,-0.1
77,Scottie Barnes,1191,25,OKC,SF,71,71,2073,11.3,0.586,0.696,0.078,4.7,10.4,7.6,6.9,1.8,1.9,7.7,13.6,2.3,3.2,5.5,0.128,-0.6,0.8,0.2,1.1
78,Max Christie,718,23,TOR,PF,63,63,2067,17.5,0.521,0.271,0.286,5.3,20,12.5,27.5,2.1,2.9,13.5,26.7,0.5,2.9,3.4,0.079,1.3,1,2.3,2.2
79,Malik Monk,1117,21,2TM,SG,76,35,2058,10.4,0.57,0.537,0.258,2.1,11,6.7,9.3,1.5,1.3,11.5,15,1.1,1.5,2.6,0.062,-2,-0.4,-2.5,-0.2
80,Jaylen Wells,823,26,SAC,SG,65,45,2054,14.9,0.549,0.456,0.19,1.6,11.7,6.7,25.6,1.4,1.8,13.5,24.6,1.3,1.4,2.8,0.064,0.3,-1.1,-0.8,0.6
81,Russell Westbrook,963,21,MEM,SG,79,74,2043,10.4,0.56,0.58,0.2,4.6,9.3,6.9,8.4,1,0.4,8.6,15.9,2.1,1.3,3.5,0.082,-1.2,-1,-2.2,-0.1
82,Onyeka Okongwu,984,36,DEN,PG,73,36,2042,14.1,0.529,0.351,0.271,5.8,13.6,9.9,28.8,2.4,1.6,20.8,23.8,-0.3,2,1.7,0.04,-1,-0.2,-1.2,0.4
83,Keyonte George,1099,24,ATL,C,73,39,2035,19.3,0.637,0.214,0.319,11.5,24,17.6,11.6,1.6,3,10,17.3,5,2.2,7.3,0.171,1.4,0.1,1.5,1.8
84,Miles Bridges,1300,21,UTA,PG,65,33,2030,13.3,0.545,0.557,0.31,1.4,11.7,6.6,26.9,1.1,0.4,14.9,24.4,1.1,0.2,1.3,0.031,0.1,-2.4,-2.3,-0.1
85,Franz Wagner,1449,26,CHO,PF,64,64,2029,17.7,0.541,0.413,0.233,3.7,22,12.7,21.6,1.1,2.2,10.2,28,1.3,1.9,3.2,0.076,2.3,-0.5,1.8,2
86,Nickeil Alexander-Walker,754,23,ORL,SF,60,60,2023,20.2,0.558,0.303,0.268,3,17.1,9.7,26.8,1.9,1,9.6,31,2.5,3.1,5.7,0.134,2.6,0.5,3.1,2.6
87,Jordan Poole,1391,26,MIN,SG,80,10,2019,11.5,0.579,0.597,0.191,3,11.1,7.1,14.7,1.2,1.5,12.8,16,1.9,2.2,4.1,0.097,-0.8,0.3,-0.5,0.7
88,Jalen Duren,903,25,WAS,SG,68,68,2001,16.7,0.591,0.588,0.259,1.6,9,5.3,25.7,2,1.2,14.8,29,1.2,0.8,2,0.048,2,-1.6,0.4,1.2
89,Davion Mitchell,573,21,DET,C,76,76,1986,21.6,0.708,0,0.442,15.2,28.6,22,14.6,1.3,4.2,17.3,16.4,5.8,3.4,9.2,0.223,1.7,1.6,3.3,2.7
90,Devin Vassell,1041,26,2TM,PG,72,36,1985,10.1,0.571,0.446,0.174,1.9,7,4.4,24.1,1.7,0.8,19.9,13.6,1.2,1.6,2.8,0.068,-2.8,0.2,-2.6,-0.3
91,Quentin Grimes,1084,24,SAS,SG,64,53,1983,14.2,0.553,0.483,0.135,1.8,12,6.9,13.8,2,1.5,8.5,22.1,0.9,1.4,2.2,0.054,-0.3,-0.8,-1.1,0.4
92,Tyrese Maxey,1369,24,2TM,SG,74,36,1978,16.2,0.601,0.509,0.262,3.3,14.6,8.9,17.7,1.8,1,13.2,22.8,2.2,1.4,3.6,0.087,1.6,-0.8,0.7,1.4
93,Jalen Wilson,717,24,PHI,PG,52,52,1960,19.5,0.562,0.438,0.265,0.8,9.6,5.1,28,2.3,1.1,9.2,29.9,2.9,1,3.8,0.094,3.2,-1.1,2,2
94,Yves Missi,665,24,BRK,PF,77,20,1958,9.3,0.536,0.58,0.271,4,11.2,7.5,10.7,1,0.2,10.6,16.7,0.7,1,1.7,0.042,-2.9,-1.3,-4.2,-1.1
95,Bilal Coulibaly,727,20,NOP,C,73,67,1956,15.4,0.572,0.002,0.415,13.7,19.7,16.6,7.2,0.9,4.8,12.4,14.3,2.6,1.1,3.7,0.091,-1.6,-1.3,-3,-0.5
96,Klay Thompson,998,20,WAS,SF,59,59,1948,10.8,0.515,0.359,0.296,4.8,10.9,7.8,14.9,1.9,1.9,15.1,17.9,-0.6,0.9,0.3,0.008,-3,-0.7,-3.7,-0.8
97,Draymond Green,596,34,DAL,SF,71,71,1946,12.9,0.553,0.631,0.085,2.5,11.1,6.9,10.7,1.2,1.3,8.9,21.9,0.7,1.1,1.8,0.045,0.7,-1.7,-0.9,0.5
98,Kyle Kuzma,932,34,GSW,PF,66,64,1916,12.4,0.533,0.476,0.298,4,19,11.3,26.4,2.4,3.3,23.3,16,0.3,3.2,3.5,0.088,-2.3,2.7,0.4,1.2
99,Guerschon Yabusele,768,29,2TM,PF,63,60,1902,10.2,0.507,0.362,0.239,3.1,17.2,10.2,12.1,0.9,0.9,13.6,24,-2.5,1.3,-1.2,-0.03,-3.3,-2,-5.2,-1.6
100,Keon Ellis,652,29,PHI,C,70,43,1895,14.7,0.616,0.487,0.245,7.7,16.4,11.9,11.6,1.5,1.2,12.2,16.4,3,1,3.9,0.1,0.1,-1.1,-1,0.5
101,Josh Green,506,25,SAC,SG,78,26,1887,13.6,0.664,0.692,0.185,3.5,8.9,6.2,8,3.1,3.1,12.3,12.7,2.7,2.2,4.8,0.123,0,2,2,1.9
102,Norman Powell,1279,24,CHO,SG,68,67,1887,7.8,0.559,0.589,0.171,3.1,6.7,4.9,8.2,1.9,0.8,13.4,11.8,0.4,1.1,1.5,0.038,-4.5,0.1,-4.3,-1.1
103,Cason Wallace,568,31,LAC,SG,58,58,1878,18,0.618,0.455,0.281,1.3,9.8,5.6,10.6,1.9,0.5,9.2,26.4,3,2.3,5.3,0.134,2,-0.1,1.9,1.9
104,Jrue Holiday,684,21,OKC,SG,68,43,1876,12.3,0.562,0.425,0.076,4.2,8.9,6.6,11.5,3.1,1.9,10.5,12.8,1.8,3.4,5.2,0.132,-1.6,2.6,1,1.4
105,RJ Barrett,1223,34,BOS,PG,61,61,1870,13.7,0.569,0.536,0.136,4.4,10.9,7.7,17.3,1.7,1.3,11.2,15.9,2.8,2.3,5.1,0.131,-0.2,1,0.8,1.3
106,Gary Trent Jr.,815,26,MIL,SG,73,9,1869,11.8,0.594,0.657,0.143,1.2,8.2,4.8,6.4,1.8,0.2,5.6,17,1.7,1.7,3.4,0.087,-1.1,-0.4,-1.5,0.2
107,Julian Champagnie,778,24,TOR,SF,58,58,1869,16.4,0.547,0.312,0.317,3.4,17.9,10.5,27.3,1.2,0.9,12.9,28.7,0.6,1.8,2.4,0.062,1.2,-0.7,0.6,1.2
108,Andrew Nembhard,650,23,SAS,SF,80,27,1868,12,0.571,0.727,0.145,3.8,13.9,8.8,7.9,1.6,1.6,9.7,17.2,1.1,1.2,2.3,0.059,-0.6,-0.9,-1.4,0.3
109,Keon Johnson,805,25,IND,SG,64,64,1866,11.8,0.55,0.324,0.256,2.1,10.8,6.5,22.4,2,0.5,15.7,16.3,1.2,1.7,2.9,0.074,-2.5,0.4,-2.1,-0.1
110,Naji Marshall,896,22,BRK,SG,77,54,1864,10.1,0.494,0.513,0.167,3.5,14.2,8.6,14.2,2.1,1.6,12,21.7,-1.5,1.9,0.3,0.009,-3.4,-0.1,-3.5,-0.7
111,Nic Claxton,712,27,DAL,SF,67,29,1863,15.5,0.588,0.306,0.231,4.5,14.3,9.5,15.8,1.8,0.5,12.2,20.1,2.1,1.5,3.6,0.093,-0.2,-0.4,-0.5,0.7
112,Trey Murphy III,1124,25,BRK,C,69,61,1860,16.4,0.566,0.037,0.269,9.1,22.8,15.7,13.8,1.7,5.3,12,16.8,1.7,2.5,4.3,0.11,-1.1,1.5,0.4,1.1
113,Isaiah Collier,615,24,NOP,SF,53,51,1854,17.3,0.598,0.522,0.274,2.7,13.3,7.8,15.8,1.5,2,9.9,23.8,3,0.6,3.6,0.093,2.1,-1.3,0.8,1.3
114,Rui Hachimura,759,20,UTA,PG,71,46,1839,9.7,0.494,0.305,0.277,1.9,11.8,6.9,34.3,1.7,0.8,25,18.9,-1.3,0.6,-0.7,-0.019,-3.8,-1.5,-5.3,-1.6
115,CJ McCollum,1183,26,LAL,PF,58,56,1837,13.5,0.616,0.431,0.192,5,12.6,8.9,6.4,1.2,1.3,7.4,15.9,2.7,1.5,4.1,0.108,-0.2,-0.6,-0.8,0.6
116,Derrick Jones Jr.,767,33,NOP,PG,56,56,1832,15.8,0.55,0.459,0.173,2.4,10.4,6.3,20.5,1.2,1.3,9,27.3,1.3,0.2,1.5,0.04,1.2,-2.6,-1.4,0.3
117,Buddy Hield,888,27,LAC,SF,75,55,1830,13.6,0.611,0.371,0.201,5.7,10.1,7.9,4.6,2.1,1.8,9.2,16.5,2.1,2.5,4.6,0.122,-1,0.7,-0.3,0.8
118,Anthony Black,695,32,GSW,SG,80,22,1825,12.2,0.56,0.697,0.084,2.9,12.7,7.6,10.9,1.8,1.1,10.3,20.4,0.6,2.2,2.8,0.072,-0.7,-0.3,-1,0.4
119,Andrew Wiggins,1068,21,ORL,PG,76,9,1819,11.3,0.517,0.321,0.323,2.9,11,6.7,19.4,2.2,2.5,16.5,19.3,-0.7,2.9,2.2,0.059,-3.3,1.3,-2,0
120,Keldon Johnson,956,29,2TM,SF,59,59,1818,16.4,0.569,0.416,0.308,5,10.8,7.9,13.4,1.6,2.6,9.5,24.4,1.9,2.1,4,0.105,1.3,-0.3,1,1.4
121,Zaccharie Risacher,924,25,SAS,SF,76,0,1811,15.4,0.57,0.357,0.25,6.4,15,10.7,10.3,1.3,1,8.2,21.5,2.1,1,3.1,0.083,-0.1,-1.5,-1.6,0.2
122,P.J. Washington,822,19,ATL,SF,73,71,1808,12.3,0.557,0.442,0.192,5.1,11,8,7.2,1.3,1.8,9.7,20.8,0.6,1.1,1.7,0.046,-1.6,-1.8,-3.5,-0.7
123,Kyrie Irving,1234,26,DAL,PF,56,55,1808,13.8,0.553,0.361,0.298,4.9,21,13.1,9.9,1.7,2.8,13.7,20.5,0.1,2.1,2.2,0.058,-1.3,0.2,-1.1,0.4
124,Cameron Johnson,1070,32,DAL,SG,50,50,1804,19.9,0.594,0.38,0.226,3.7,10.7,7.3,20.5,1.8,1.1,9.7,27.4,3.4,1.3,4.6,0.124,3.9,-0.5,3.4,2.5
125,Royce O'Neale,673,28,BRK,PF,57,57,1800,18.2,0.632,0.546,0.301,3.3,12.8,7.8,18.5,1.5,1.4,10.5,22.9,3.8,1.4,5.2,0.138,3.4,-0.4,3.1,2.3
126,Dorian Finney-Smith,531,31,PHO,SF,73,22,1794,12.9,0.594,0.773,0.047,3.4,17.6,10.7,12.4,1.8,1.7,10.2,15.5,1.7,1.1,2.9,0.077,0.5,-0.1,0.4,1.1
127,Haywood Highsmith,456,31,2TM,PF,62,40,1788,9.9,0.596,0.718,0.106,5.1,10.6,7.8,7,1.5,1.2,11.2,12.3,1.4,1.4,2.8,0.074,-1.3,0.1,-1.2,0.4
128,Alex Sarr,852,28,MIA,SF,72,41,1776,9.8,0.582,0.598,0.115,4.3,10.8,7.6,8.3,1.9,2,11.9,11.1,1.1,2.1,3.2,0.087,-2.9,1,-1.9,0.1
129,Kyshawn George,574,19,WAS,C,65,65,1772,13.1,0.485,0.41,0.2,7.2,17.8,12.4,13.6,1.2,5.1,11.2,23.4,-1.5,1.3,-0.2,-0.004,-2.2,-1.1,-3.2,-0.6
130,Scoot Henderson,837,21,WAS,SG,66,36,1763,8.8,0.501,0.647,0.175,2.9,13.8,8.3,13.2,1.8,2.6,14.5,16,-1,1.1,0.1,0.002,-3.9,-0.3,-4.1,-1
131,Collin Sexton,1159,20,POR,PG,66,10,1759,12.5,0.54,0.434,0.301,3.1,9.2,6.1,28,1.9,0.7,18.6,22.6,0.4,1.3,1.7,0.047,-1.4,-0.8,-2.2,-0.1
132,Duncan Robinson,790,26,UTA,SG,63,61,1758,16.6,0.593,0.313,0.29,3.7,6.8,5.3,25.1,1.3,0.3,14.1,27,2.5,0,2.4,0.067,1.7,-2.3,-0.6,0.6
133,Amir Coffey,696,30,MIA,SF,72,36,1747,11.7,0.592,0.722,0.081,1.1,9.2,5.2,15,1.1,0.3,11.3,19.1,1.1,1.4,2.5,0.068,-0.8,-1,-1.8,0.1
134,Wendell Carter Jr.,614,27,LAC,SG,71,13,1744,11.2,0.614,0.484,0.253,2.1,8.2,5.2,6.1,1.1,0.4,7.2,15.2,2.4,1.7,4.1,0.112,-1.5,-0.2,-1.7,0.1
135,De'Andre Hunter,1088,25,ORL,C,67,50,1741,13.8,0.549,0.322,0.355,9.4,23.5,16.1,11.5,1.5,2.3,12.1,16,1.6,3,4.6,0.128,-2.2,1,-1.2,0.3
136,Walker Kessler,641,23,UTA,C,58,58,1740,20,0.66,0.081,0.363,16.7,27.2,22,8.3,1,7.4,15,13.7,3.6,1.8,5.5,0.151,1.1,0.7,1.8,1.7
137,Luka Dončić,1369,27,2TM,SF,64,9,1740,15.9,0.623,0.509,0.333,2.7,13.5,8.1,7.5,1.4,0.7,8.6,22.8,3,1.4,4.4,0.121,1.2,-0.8,0.3,1
138,Mike Conley,580,25,2TM,PG,49,49,1738,23.7,0.583,0.469,0.379,2.6,22.6,12.8,35.9,2.5,1.1,13,33.8,3.3,2.4,5.6,0.155,5.3,1.2,6.5,3.8
139,Kris Dunn,459,37,MIN,PG,69,62,1727,13.4,0.577,0.663,0.194,2.1,9.1,5.7,24.5,2.2,0.8,13,14.5,3,2.1,5.1,0.142,0,1.3,1.3,1.4
140,Jabari Smith Jr.,698,30,LAC,PG,72,56,1725,11.3,0.526,0.511,0.052,3.5,12.6,8.1,15.7,3.6,1.6,14.2,12.8,0.7,3.2,3.9,0.107,-2.9,3.5,0.6,1.1
141,Jakob Poeltl,824,21,HOU,PF,57,39,1716,12.6,0.562,0.489,0.223,6.4,18.5,12.4,4.8,0.7,2.1,8.9,16.4,2,2.4,4.3,0.121,-0.8,0.2,-0.6,0.6
142,Georges Niang,768,29,TOR,C,57,56,1686,20,0.641,0.005,0.249,11.8,23.3,17.4,14.5,1.9,4,14.7,18.7,3,2.6,5.6,0.159,0.7,1.3,2,1.7
143,Anthony Davis,1238,31,2TM,PF,78,3,1680,11.2,0.608,0.662,0.096,3,14.3,8.7,8.8,0.8,0.8,11.2,17.7,1.5,1.3,2.8,0.081,-1.1,-1.2,-2.3,-0.1
144,Bradley Beal,881,31,2TM,PF,50,50,1676,26,0.588,0.133,0.411,9,29.1,19.3,17.6,1.7,5.7,9.5,30.4,3.5,2.9,6.4,0.185,3.8,1.3,5.1,3
145,Aaron Wiggins,851,31,PHO,SG,52,37,1674,14.9,0.594,0.374,0.201,2.3,9,5.8,17.4,1.7,1.6,11.8,22.2,1.6,0.5,2.2,0.062,-0.3,-1.1,-1.4,0.2
146,Jimmy Butler,910,26,OKC,SG,74,24,1673,15.6,0.592,0.471,0.109,5.2,12.7,9,10.3,1.6,1.1,8.3,19.9,2.4,2.5,4.9,0.142,1.1,-0.3,0.9,1.2
147,Ochai Agbaji,629,35,2TM,SF,53,53,1670,22.2,0.623,0.176,0.656,8,11,9.4,25.2,2.2,1,9.1,20.8,6.2,2,8.1,0.233,3.8,0.9,4.7,2.8
148,Scotty Pippen Jr.,768,24,TOR,SG,62,43,1666,11.6,0.596,0.469,0.095,3.5,11.7,7.5,8.2,1.5,1.7,9.1,14.6,1.4,1.5,2.9,0.083,-1,0.1,-0.9,0.5
149,Brandin Podziemski,718,24,MEM,PG,78,21,1652,15.9,0.584,0.366,0.286,4.2,12.3,8.3,27.1,2.9,1.7,17.3,19.4,2.3,2.2,4.5,0.132,0,1.8,1.9,1.6
150,Santi Aldama,803,21,GSW,SG,62,31,1644,14.4,0.555,0.493,0.148,4,16.7,10.1,18.9,1.9,0.7,10.1,18.4,1.8,2.1,4,0.116,-0.1,0.8,0.6,1.1
151,Kevin Huerter,656,24,MEM,PF,64,16,1634,16.8,0.588,0.5,0.145,6.2,20.4,13.4,15.2,1.4,1.6,9.3,18.6,2.9,2,4.9,0.144,2.6,0.6,3.1,2.1
152,Al Horford,525,26,2TM,SG,67,29,1632,11.1,0.542,0.647,0.08,2,11.2,6.7,12.3,1.9,1.3,9.7,17.4,0.5,1.3,1.7,0.051,-1.9,-0.2,-2.1,-0.1
153,Peyton Watson,534,38,BOS,C,59,41,1631,12.9,0.561,0.683,0.084,5.2,18.7,12,10.6,1.1,2.8,8.6,13.8,2,2.3,4.3,0.127,0.1,1.1,1.2,1.3
154,A.J. Green,526,22,DEN,SF,66,18,1619,11.3,0.565,0.316,0.321,3.3,11.5,7.6,7,1.4,5,10.6,13.8,0.9,1.5,2.4,0.071,-2.1,0.2,-1.9,0
