Rk,Player,PTS,Age,Team,Pos,G,GS,MP,PER,TSp,3PAr,FTr,ORBp,DRBp,TRBp,ASTp,STLp,BLKp,TOVp,USGp,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
244,Jarace Walker,435,25,NYK,C,55,9,1122,13.9,0.543,0.118,0.214,10.4,20.4,15.4,6.2,1.9,3.4,11.2,14.5,0.8,1.6,2.4,0.103,-1.8,0.2,-1.6,0.1
245,Vit Krejci,397,21,IND,PF,73,3,1121,11.9,0.594,0.527,0.202,2.3,18.7,10.6,12,2.2,1.9,16.6,17,0.1,1.4,1.5,0.066,-1.8,0.9,-1,0.3
246,Kevon Looney,337,24,ATL,PG,55,16,1114,12.3,0.654,0.709,0.147,1.8,13.1,7.3,16.2,1.4,2.2,13.4,12.9,1.6,0.8,2.4,0.105,-0.2,0.6,0.4,0.7
247,Aaron Nesmith,531,28,GSW,C,74,6,1110,17,0.53,0.018,0.353,17.3,26.9,21.9,14.2,2,3,10.9,13.5,2.1,2,4.1,0.179,-1.1,1.2,0.1,0.6
248,Ja'Kobe Walter,449,25,IND,SF,44,36,1109,14.5,0.653,0.519,0.212,3.6,13.9,8.8,6.5,1.5,1.4,8.1,17.3,1.8,1,2.9,0.123,0,-0.5,-0.6,0.4
249,Ben Simmons,256,20,TOR,SG,52,18,1103,10.8,0.523,0.473,0.211,5.6,10,7.8,10.2,1.9,0.9,10.4,18.2,0.3,1,1.2,0.054,-2.3,-0.6,-3,-0.3
250,Kawhi Leonard,735,28,2TM,PG,49,24,1097,12.6,0.539,0,0.148,4.5,20.6,12.3,37.5,1.7,2,29.8,13.5,0.5,1.3,1.8,0.079,-2.3,1.8,-0.5,0.4
251,Jaxson Hayes,376,33,LAC,SF,35,35,1090,20.3,0.583,0.308,0.189,3.6,17.5,10.7,16.3,2.5,1.5,9.6,27.8,1.3,1.8,3.1,0.136,2.3,0.5,2.8,1.3
252,Julian Phillips,334,24,LAL,C,55,34,1081,15.8,0.719,0.014,0.427,8.2,19.4,14,7.6,1.4,4.4,14.1,12.4,2.2,1.4,3.6,0.161,-1.6,1.3,-0.3,0.5
253,Kenrich Williams,401,21,CHI,SF,77,3,1069,9.5,0.559,0.534,0.261,6.3,8.7,7.5,4.3,1.5,1.5,8.3,12.7,0.8,0.7,1.5,0.066,-2.9,-0.6,-3.5,-0.4
254,Cody Williams,230,30,OKC,PF,67,5,1065,13.5,0.596,0.5,0.102,6.3,16,11.2,10.8,1.7,0.9,9.4,14.8,1.7,1.7,3.4,0.153,-0.3,0.9,0.5,0.7
255,Dalano Banton,533,20,UTA,SG,50,21,1060,3.6,0.419,0.525,0.156,2.8,8.7,5.8,7.4,1,1.4,13.8,12.6,-1.2,0.1,-1.1,-0.052,-6.1,-1.2,-7.3,-1.4
256,Jonathan Isaac,356,25,POR,PG,65,5,1053,13.6,0.507,0.433,0.254,2.9,10.3,6.5,21.1,1.9,2.8,12.6,23.8,0,1,1,0.044,-0.2,-0.2,-0.4,0.4
257,Cameron Payne,479,27,ORL,PF,69,0,1052,16,0.506,0.474,0.325,12,21.1,16.3,4.8,2.8,6.8,7.9,15.9,0.7,2.4,3.1,0.143,-1.3,1.8,0.5,0.7
258,Seth Curry,427,30,NYK,PG,70,4,1045,13.8,0.533,0.579,0.112,1.6,9.5,5.6,25.6,1.8,1.3,9.8,20.7,1.3,0.9,2.2,0.102,0,-0.1,-0.1,0.5
259,Noah Clowney,420,34,CHO,SG,67,14,1043,11.8,0.606,0.522,0.116,2.4,9.1,5.7,8.9,1.2,0.7,8.1,15.6,1.2,0.5,1.6,0.076,-1,-1,-2,0
260,Alex Caruso,382,20,BRK,PF,46,20,1042,9.2,0.516,0.702,0.215,4.5,15.8,9.9,5.9,1.1,2,10.2,19,-0.3,0.8,0.5,0.023,-3.2,-1,-4.2,-0.6
261,Isaac Okoro,322,30,OKC,SG,54,3,1041,15.9,0.568,0.541,0.162,4,12.3,8.2,16.6,4,2.9,9.9,15.2,1.6,2.3,3.9,0.179,0,3.9,3.9,1.6
262,Jusuf Nurkić,425,24,CLE,SG,54,22,1026,10.4,0.579,0.574,0.178,5.1,8,6.6,8,1.5,1.4,7.6,12.5,1.3,1,2.3,0.11,-1.3,0.5,-0.8,0.3
263,Dejounte Murray,542,30,2TM,C,49,31,1016,15,0.557,0.302,0.372,8.8,32.3,20.7,16.2,1.7,3.1,19.3,20.2,0,1.4,1.4,0.066,-2.4,0.8,-1.6,0.1
264,DaQuan Jeffries,297,27,CHO,SG,45,18,1012,8,0.52,0.56,0.106,3.7,10.1,6.9,7.5,1.2,2.2,10.6,13.4,0,0.6,0.6,0.029,-4,-0.7,-4.8,-0.7
265,Jalen Suggs,567,28,NOP,PG,31,31,1012,15.4,0.494,0.352,0.251,1.8,20.2,10.7,34.5,3,1.1,16.2,27.3,-0.7,0.9,0.2,0.011,-1.3,-0.3,-1.6,0.1
266,Brandon Boston Jr.,448,23,ORL,PG,35,35,1002,14.4,0.536,0.503,0.229,2.5,14.2,8.1,21.7,2.5,3.2,16.2,27.5,-0.7,1.8,1.1,0.053,-0.9,1.2,0.4,0.6
267,Jared Butler,497,23,NOP,SG,42,10,993,12.7,0.535,0.367,0.223,3,11.9,7.3,13.7,2.6,0.9,11.1,20,0.2,0.5,0.7,0.035,-2.3,-0.2,-2.5,-0.1
268,Oso Ighodaro,239,24,2TM,SG,58,15,989,15.3,0.546,0.368,0.201,2.5,9.5,5.8,33.5,1.9,1.2,13.7,22.9,0.9,0.4,1.3,0.064,0.3,-1.5,-1.2,0.2
269,Kris Murray,270,22,PHO,PF,59,5,986,11.1,0.616,0.012,0.291,7.3,16.5,12.1,9,1.3,2.4,14.9,10.2,1.1,0.5,1.6,0.079,-2.7,0.2,-2.5,-0.1
270,Dalen Terry,320,24,POR,SF,67,4,974,9.3,0.485,0.434,0.199,7.4,11.1,9.2,8.6,1.7,1.4,12.3,13.6,0,0.8,0.7,0.036,-2.9,0,-2.9,-0.2
271,Trayce Jackson-Davis,407,22,CHI,SG,72,5,969,9.8,0.553,0.39,0.266,4.2,8.9,6.6,12.8,2.1,1.3,15.2,14.7,0.3,0.8,1.1,0.053,-3.9,0.1,-3.8,-0.4
272,Jordan Clarkson,600,24,GSW,C,61,37,964,18.5,0.587,0.01,0.338,13.2,21.7,17.3,16,1.1,3.8,11.3,17,1.9,1.4,3.4,0.167,0.3,0.9,1.2,0.8
273,Jamison Battle,383,23,TOR,SF,57,8,962,10.7,0.593,0.746,0.057,3.8,12.4,8,7.1,0.8,0.9,6.9,15.1,1,0.6,1.7,0.082,-0.9,-1.3,-2.1,0
274,Kyle Anderson,342,32,UTA,SG,37,9,962,14.5,0.54,0.471,0.29,2.8,10.4,6.6,22.9,1.5,0.9,13.4,27.9,0.2,0.2,0.4,0.021,0.6,-2.1,-1.5,0.1
275,Andre Jackson Jr.,221,31,2TM,PF,59,4,951,15,0.542,0.242,0.208,5.9,16.7,11.2,20.4,2,2.8,10.5,16,1.3,1.4,2.6,0.133,-0.6,2.1,1.6,0.9
276,Jalen Smith,510,23,MIL,SG,66,43,944,8.8,0.548,0.393,0.126,7.7,12.7,10.3,10.8,1.7,1.4,20.8,11.8,0.2,1.1,1.2,0.063,-3.6,0.4,-3.2,-0.3
277,Zach Collins,386,24,CHI,C,62,2,942,18.6,0.59,0.556,0.221,9.8,28.5,19.3,9.5,0.8,4.1,7.9,20.8,1.6,1.2,2.8,0.143,1.4,-0.6,0.8,0.7
278,Thomas Bryant,412,27,2TM,PF,62,12,942,15.8,0.6,0.359,0.248,11.2,20.1,15.7,15.5,1.4,2.7,15.1,17,1.6,0.9,2.5,0.128,-0.9,0.7,-0.2,0.4
279,Brandon Miller,568,27,2TM,C,64,7,925,17.2,0.613,0.453,0.201,10,19.6,14.8,7.8,1.4,3.7,7.9,17.2,1.8,1.2,2.9,0.152,0.6,-0.1,0.5,0.6
280,Bruce Brown,340,22,CHO,SF,27,27,924,14,0.54,0.597,0.161,2.8,12.5,7.6,18.2,1.5,2.1,12.6,27.7,-0.2,0.7,0.4,0.023,0.8,-0.8,0,0.4
281,Immanuel Quickley,564,28,2TM,PG,41,12,922,10.9,0.504,0.262,0.21,4.6,14.9,9.6,12.8,1.8,1,10.4,17.2,0.1,0.6,0.7,0.037,-3.1,-0.6,-3.8,-0.4
282,KJ Martin,274,25,TOR,PG,33,33,918,17.5,0.57,0.514,0.292,1.8,12.1,6.8,31.5,1.2,0.4,10.5,25.2,1.8,0.7,2.5,0.13,3.2,-1,2.2,1
283,Day'Ron Sharpe,397,24,2TM,PF,43,16,912,10.2,0.618,0.289,0.234,3.6,11.8,7.6,7.4,0.9,2.3,9.8,11.5,1.1,0.2,1.3,0.068,-3.2,-0.3,-3.6,-0.4
284,Tre Jones,330,23,BRK,C,50,2,907,19.7,0.568,0.142,0.233,17.8,23.8,20.7,16.7,2.2,4.6,15.3,19.9,1.3,1.4,2.7,0.142,-0.1,0.9,0.8,0.6
285,Jaden Ivey,528,25,2TM,PG,46,9,905,16.3,0.617,0.202,0.282,3.7,9.9,6.8,28.6,1.9,1,11.6,14.1,2.3,0.6,2.9,0.153,0.5,1,1.5,0.8
