ASt
4
5
3
4
1
2
6
3
4
7
6
2
5
6
4
3
4
4
4
6
5
5
3
4
3
7
Inac
2
7
10
Did
2
8
5
6
Inac
2
3
5
6
2
5
3
5
4
1
8
7
3
7
7
8
9
5
9
5
6
8
3
5
2
8
7
8
2
5
6
Inac
4
Inac
6
5
6
4
4
3
5
Inac
6
7
Inac
Inac
